Stadsdel ◄,Lägenhet,Bos.t. ◄,m2 ◄,Sk.fr. pris € ◄,€/m2 ◄,Br ◄,Vån ◄,Hiss ◄,Skick ◄,Tomt ◄,Energik. ◄
Vii kaupunginosa,2k+k+kph+p,kt,"60,00",183000,3050,1984,3/8,ja,nöjaktig,egen,C2007
Keskusta,"2h, k, p",kt,"54,00",188000,3481,1963,2/7,ja,bra,egen,D2007
Keskusta,"2 h, k, p",kt,"50,00",172500,3450,1962,5/7,ja,bra,egen,F2013
Vasaramäki,"2h,k,p",kt,"47,00",91650,1950,1961,2/4,nej,nöjaktig,hyrd,F2007
Kaerla,2h+k+kh+parv,kt,"61,50",91000,1480,1972,3/3,nej,nöjaktig,egen,F2013
Kakolanmäki,"2 h,kt,s,vh",kt,"48,00",190900,3977,2020,1/6,ja,,hyrd,B2018
Itäinen keskusta,"2h, k, kph/wc",kt,"57,00",205000,3596,1963,4/7,ja,bra,egen,D2018
Iso-heikkilä,2h+k+kph+p,kt,"66,00",153000,2318,1963,2/7,ja,bra,egen,G2013
Varissuo,"2h, k, lasitett...",kt,"60,00",65000,1083,1976,9/9,ja,bra,egen,F
Kähäri,2h+k,kt,"50,00",139000,2780,1955,3/4,nej,bra,egen,G2013
Kakolanmäki,"2h, kt",kt,"52,00",166900,3210,2019,1/3,ja,bra,,C
Länsikeskus,2h+k+s (yhti...,kt,"73,00",169000,2315,1988,2/5,ja,bra,egen,E2013
Lonttinen,2H+KT+S+P,kt,"45,00",182000,4044,2013,2/6,ja,bra,egen,E2013
Suikkila,"2h, k, p",kt,"60,00",112000,1867,1971,4/5,ja,bra,egen,F
Varissuo,"2h, k, s",kt,"65,00",59000,908,1980,3/3,nej,nöjaktig,egen,F
Martti,"2h,k,kph",kt,"45,00",162000,3600,1963,6/6,ja,bra,egen,D2007
Hepokulta,"2 h,kk",kt,"40,00",57500,1438,1971,1/7,ja,nöjaktig,egen,F2013
Vähäheikkilä,2 h+kt,kt,"41,50",187000,4506,2015,5/7,ja,bra,egen,B2018
Turku,"2 h, k, vh",kt,"46,50",53600,1153,1968,3/3,nej,dålig,egen,F2013
Satama,"2 h,k,vh,s",kt,"51,00",240380,4713,2019,6/7,ja,,egen,B2013
Satama,"2 h,kt,vh",kt,"43,00",180000,4186,2019,1/6,ja,,egen,B2013
Pohjola,"2h,k,kph,s,las....",kt,"62,00",231000,3726,2008,1/5,ja,bra,egen,E2013
Port arthur,2h+k,kt,"54,00",196000,3630,1952,1/4,nej,bra,egen,F2013
Kakolanmäki,"2 h,kt,s,vh",kt,"48,00",199900,4165,2020,3/6,ja,,hyrd,B2018
Ilpoinen,"2 h, k",kt,"55,00",78000,1418,1970,3/3,nej,nöjaktig,egen,F
Keskusta,"2h, kk",kt,"40,00",161590,4040,1963,4/8,ja,nöjaktig,egen,D
Turku,2H+KT,kt,"40,00",186900,4673,2020,5/6,nej,bra,hyrd,B2018
Keskusta / linnanfältti,"2 h,kt,s",kt,"44,00",225000,5114,2019,4/5,ja,,egen,C2013
Kakola,2H+KT+S,kt,"47,50",203367,4281,2020,4/6,ja,bra,egen,B2018
Itäinen keskusta,"2h, k, kph, p, vh",kt,"55,00",171500,3118,1965,1/7,ja,bra,egen,E2013
Länsikeskus,"2h, k, kh, p",kt,"55,50",88000,1586,1990,2/4,ja,nöjaktig,egen,
Keskusta,"2h, k, p",kt,"57,00",220000,3860,1954,2/6,ja,bra,egen,C2007
Harittu,2h+k+s,kt,"55,50",100000,1802,1990,2/3,nej,nöjaktig,egen,E2007
Keskusta itä,"2h, k, kh, p",kt,"54,00",172500,3194,1963,4/9,nej,nöjaktig,egen,F2013
Varissuo,"2h, k, p",kt,"60,00",60000,1000,1977,6/6,ja,nöjaktig,egen,E
Keskusta / linnanfältti,"2 h,kt",kt,"37,00",163490,4419,2020,3/3,ja,,hyrd,B2018
Kakolanmäki,"2 h,kt",kt,"37,00",172900,4673,2020,3/6,ja,,hyrd,B2018
Keskusta / linnanfältti,"2 h,kt",kt,"34,00",146890,4320,2020,2/4,ja,,hyrd,B2018
Martti,2h+kk,kt,"46,00",159000,3457,1955,4/6,ja,nöjaktig,egen,G2013
Turku,2H+KT+S,kt,"47,50",190900,4019,2020,1/6,nej,bra,hyrd,B2018
Itäinen keskusta,"2h, k, las.p",kt,"53,00",185000,3491,1968,6/7,ja,nöjaktig,egen,D2018
Itäinen keskusta,"2h, k, s, las.p",kt,"57,00",195000,3421,1988,3/6,ja,nöjaktig,egen,D2018
Varissuo,2h+k,kt,"60,00",55000,917,1977,3/4,nej,nöjaktig,egen,F2013
Kiikku,"2h,k",kt,"62,00",71000,1145,1974,1/6,ja,nöjaktig,egen,E2007
Hannunniittu,"2h,kk,vh",kt,"42,00",103000,2452,1966,6/6,ja,nöjaktig,egen,F2013
Runosmäki,"2h,k,kph",kt,"44,00",66000,1500,1976,6/6,ja,nöjaktig,egen,C2007
Runosmäki,"2h,k,kph,las.pa...",kt,"63,00",73000,1159,1973,1/3,nej,nöjaktig,egen,E2018
Satama,"2 h,k,vh,parveke",kt,"57,00",265000,4649,2020,5/6,ja,,egen,A2018
Martti,2h+avok+kph/wc+...,kt,"45,50",229000,5033,1998,1/5,ja,bra,egen,D2013
Keskusta,2h+kk,kt,"53,00",161000,3038,1929,8/8,ja,bra,egen,F2013
Satama,"2 h,kt,vh",kt,"43,00",192640,4480,2019,3/6,ja,,egen,B2013
Raunistula,"2h, kk, s",kt,"49,00",194000,3959,2012,2/5,ja,bra,egen,E
Kakolanmäki,"2 h,kt",kt,"37,00",177900,4808,2020,4/6,ja,,hyrd,B2018
Vähäheikkilä,2 h+kt,kt,"44,00",185000,4205,2015,4/7,ja,bra,egen,B2018
Satama,"2 h,k,vh,terassi",kt,"57,00",256000,4491,2020,2/6,ja,,egen,A2018
Keskusta / linnanfältti,"2 h,kt,vh",kt,"37,00",160000,4324,2020,2/3,ja,,hyrd,B2018
Satama,"2 h,k,vh,parveke",kt,"57,00",262000,4596,2020,4/6,ja,,egen,A2018
Mälikkälä,2h+kk+s,kt,"48,00",167000,3479,2011,5/5,ja,bra,egen,A2007
Satama,"2 h,kt,vh",kt,"43,00",187910,4370,2019,2/6,ja,,egen,B2013
Turku,"2h, k, kh, p",kt,"48,00",181000,3771,1957,4/8,ja,bra,egen,F2013
Uittamo,"2h,k,kph",kt,"52,00",121000,2327,1968,2/8,ja,bra,egen,F2013
Kurjenmäki,"2h,k",kt,"53,00",149000,2811,1961,7/7,ja,nöjaktig,egen,F2013
Harittu,"2h,k,s,p",kt,"58,50",120000,2051,1987,3/3,nej,nöjaktig,egen,D2007
