"Stadsdel ◄","Lägenhet","Bos.t. ◄","m2 ◄","Sk.fr. pris € ◄","€/m2 ◄","Br ◄","Vån ◄","Hiss ◄","Skick ◄","Tomt ◄","Energik. ◄"
"Länsikeskus","2h,k,s,vh,p","kt","55,00",139000,2527,1988,"4/5","on","hyvä","oma","E2013"
"Vasaramäki","2h, k, kh, p","kt","47,00",89300,1900,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Runosmäki","2h+k+kph/wc+las...","kt","56,00",78000,1393,1976,"4/7","on","hyvä","oma","F2007"
"Luolavuori","2h+keittiö...","kt","51,00",105000,2059,1960,"4/4","ei","hyvä","oma","D2007"
"Keskusta","2h, k, s, p (yh...","kt","60,50",249000,4116,1990,"4/6","on","hyvä","oma","E2013"
"Iso-heikkilä","2h, k, kh, p","kt","50,00",128000,2560,1961,"4/7","on","hyvä","oma",
"Vasaramäki","2h, k,p","kt","47,00",89300,1900,1961,"4/4","ei","tyyd.","vuokra","F2007"
"Iso-heikkilä","2 h,kk","kt","41,00",97500,2378,1955,"4/8","on","hyvä","oma","F2013"
"Keskusta","2h+k+kph+parveke","kt","48,00",219000,4563,1957,"4/8","on","hyvä","oma","F2013"
"Satama","2 h,k,vh,s","kt","56,00",238000,4250,2019,"4/7","on"," ","oma","B2013"
"Runosmäki","2h, kk","kt","55,00",85000,1545,1975,"4/8","on","hyvä","oma","D2007"
"Martti","2h, k, vh, kph,...","kt","57,00",195000,3421,1957,"4/6","on","tyyd.","oma","F2013"
"Keskusta itä","2h+k+kh+vh","kt","63,00",209000,3317,1938,"4/5","on","hyvä","oma","G2013"
"Keskusta","2h, k, vh","kt","57,80",225000,3893,1928,"4/5","on","hyvä","oma","G2013"
"Kastu","2h,k,kph,s,p","kt","62,00",160000,2581,1995,"4/4","on"," ","oma","E2018"
"Kakola","2H+KT","kt","36,50",175000,4795,2020,"4/6","on","hyvä","vuokra","B2018"
"Telakkaranta","2 h, kt, kph, s...","kt","50,00",310500,6210,2018,"4/7","on","hyvä","oma","C2013"
"Satama","2 h,kt","kt","40,00",187625,4691,2019,"4/7","on"," ","oma","B2013"
"Nättinummi","2h, k, kph, lp","kt","61,00",78000,1279,1977,"4/4","ei"," ","oma","D2013"
"Luolavuori","2h,k,kph,vh,las...","kt","52,00",75000,1442,1969,"4/5","on","tyyd.","oma","F2013"
"Keskusta","2h, k, kph, vh,...","kt","52,00",145500,2798,1961,"4/7","on","tyyd.","oma","E2013"
"Satama","2 h,k,vh,parveke","kt","57,00",258000,4526,2020,"4/6","on"," ","oma","A2018"
